id,createdTime,Author,Date,Image,Intro,Name (from Author),Publisher,Quarter,Slug,Title,URL,Year
rec0L2Xxl5sY2OOuV,2024-01-28T12:08:38.000Z,['rec5tJqH6R8tZN92D'],2024-01-06,"[{'id': 'attBEjvZ2FIgNfUAf', 'width': 740, 'height': 460, 'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/qf1L6kX_giMlecY3CkfqXw/yxFOxQARCQeJ9wF2qGJC7siCxwwR_jCC_bpiKagggnpm-2zAggpuKMGW04hwWYwm3gmxuNN742jURP8U6ZnFZfg20BJrOqcXXf4dwTv7UxFzNyituQnLRivVN2KC4LUJUmWImE2gPZZ6BlFGIgf67x4Jt_bqJ4diW0QDmL2GIbpK_dsPtTyk-rKGgPjKaGCp/sFvdu1G6E36uAt5hzg6jbrJ82odBG4L2w7DvucTCRHA', 'filename': '30c761_bee7ee2e5e5643fa86eb13760927ea8d~mv2.webp', 'size': 75604, 'type': 'image/webp', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/8kWNiJtiFqMA51rKvoxOiA/xQZoZTQdqbVp4tseb6TnA_wdYfaQOAXWUJP2YjL-uFxQGLVZrQCZvXZlkoH99knwBI0lrERfTNggO_CGDAmsu-fKd0x4vsuzEjnX4ClkBuwNs_oIMXzujrhHeh586Z85yH5GFQ4BtuVJZha1pia1lA/pWrsvqgjxm7j6B2KNggh9AhyolHU5MyX7bTOHuMnGI0', 'width': 58, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/S97_3uLqV5PNWt5RaVxwcA/Nui6DtZmmhHtW-rEJkCRvTAvRNp7RG3u-sZA9YiMqhLniG-pRxEqjyC5XQ3RdoaBDtCfJqGOO2RXKNf2FulKEUor8kyzG-Uvk_MiL-tezSbk4Gqcles0v5w61Gi8IIFTREaKE66ShdvVIm_z_ikfvg/yUG6Dbqp79cjU_3gL1gPQo_--7wi47uE9ZmEkVjo49o', 'width': 740, 'height': 460}, 'full': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/Yj57DiAbCe3s4oq5q_L70A/yMU4WwRUTZFMBdC4-CAqQGQNOqmEQmeod_15uEWS_1v0n3WoSRzrmpBPao0x4qRJ-DMRBk2m6SjKZLJkETMtigVicWPJWR9QkCLhjmLpzKTtuYiVtBRDlbfmcjJBgBvXoMl5RKZ-YqRasyPiysaRgg/rHeiJNBVxqemWkfazICkpSP3wZaJqLuKmbYdnZ0uK7A', 'width': 740, 'height': 460}}}]",The Good Data Institute wrote this piece on the model inference pipeline they built for Ersilia,['David Cole'],Other,Q1,gdi-model-inference,Pipeline Dreams: SMILES All Around as MLOps Boosts Drug Discovery,https://www.gooddatainstitute.com/post/pipeline-dreams-smiles-all-around-as-mlops-boosts-drug-discovery,2024
rec30QAtCP54RzO6Y,2024-12-08T19:34:45.000Z,['recRbPDMRtxZLdcGj'],2024-12-05,"[{'id': 'att8kChLq4IsAObP8', 'width': 1000, 'height': 667, 'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/D0Nflst0uPJROCSjOS9Jqg/gKh0fnjlMSe_3yFvDxAS6Vh8vMDAm8L-PVUHYELrLMYGxGkVWQ7HZM4LxenGEOXhoZU2wv118dgZi5OKDHxrAsIK-4rnCjCLWYcAyB9sR-B4V3ICEFdq5iasqt_j7tzsdHyopjOIN1BLniyXijoEsAKcueZuJKTIOVORFAqyrmw/09mrkUf9Y9aV77vFrV-U4QZms1pxmHYFbkvXeLc5fQk', 'filename': 'kingdom_sick.jpg', 'size': 282603, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/JkP4jNVxoyhbR7cM0ku9SA/ouD1gGPeFti3gNTJnOuiTE3QUM2lUBQvCz4kZOuMr1RF9rkHz5Dm_PPkyEfqyFBaU-Jii-ToFcJNz8Q2bekfxaU4CWlnxMyX5kxbkx1kDX6G1wV_t4Dkl0e_pO_NQAxx6DRHPwC_mhYCx9Dww6TWvw/nQi485dT6fnsHvIB1hZ8_kM3xCALwxfo5D67Zjk83Fo', 'width': 54, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/mcCJpiChI30LlY0o2_0fdg/HTudF9hH1XY5zjcaBNPp_lybcUWnUPyN9gmzYLprycYOQbBsR8AHisidyDfAaoDLunyoA_37k9FWWFH6eo17DMkMvwhbcOZFYKM9TYGfmAJmPHgSJhA-gFTI_UBKJD5xzRYNKD7ulbi6vPkUawjccw/32FoWh5y4QMTw1DSrw7ceXlhY3FcLA6drbappGLY4_8', 'width': 768, 'height': 512}, 'full': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/m7Zpc4qbKZqauf9w9tQ-1A/eXYs9-qNmk8ZDJDlq3aNl3lIAqTHX8tVRo1xXYJ-8Id7_TRvw-1dDR2piTrR1RZAixW2oXC6m1vjjdIqDDv0ldal9yfYM0HKkO5Gndbpy0hbBSSIco1iJTZ7CZwp9nmsOrbvK3uJY3hRf8PrCskevA/zWPCzSKs6G0MfASZpCctfNdX_cYDzLUXFPBCw-jDBks', 'width': 1000, 'height': 667}}}]",This piece was published as part of the Mozilla Builders Zine,['Miquel Duran Frigola'],Ersilia,Q4,beyond-the-kingdom-of-the-sick,Beyond the kingdom of the sick,https://builders.mozilla.org/beyond-the-kingdom-of-the-sick/,2024
rec3DTEtPeXgyHQOX,2021-08-31T07:09:34.000Z,['recLZbmJVAqs3sfvw'],2021-08-31,"[{'id': 'att5UjHMFDAm0ggb9', 'width': 1400, 'height': 933, 'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/gKYTcHjWwlGv7NJdpfUOoA/Esgp1Z8oC67IIKfC2nOgKC-1WAmMAz8Sp7RC3uhUOf8FQznJmCQp9LpHWLqFypntUEAi-ZOoFCYxs7UUVxYvWobJ0vJypfMfiq5rP2FfImGDqfnM4SvySxecF8tRU-Gyn0Y0rdkN_Ava4DEi5BT3Cg/s5upuOQNS1WMTNCYU76koR3iuYNCDDJh7T2KCYxtF_4', 'filename': 'blogpost.jpeg', 'size': 217487, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/WXGQHoUP5WmeNm41q5pYMg/Hxg_Vy0wZtOz1MGXZ5dWrh25Pz1LJ9yjVDKM5P4bHpW0WKB6ZrRUindddC1VCkbxo59gidVD3h0FY2i9PJ9iZ5Uj7H6a1zWSF5yL9wj6kq0EwasxQ_i7mabUK_ty8dEJ2FQgbx_RpFSSVnG0zTM5Dw/ow4jMpqnSW9XFtrlE3-gjE9xTsJdDM5_guFY5YOlpKQ', 'width': 54, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/1sfAfpSHVYEG64UXHkW7nw/tnmLBx4v6Lt4XsypjAmEkaCF4AZV9fbKWZI4wwr50a_8edPERYKuDwN2WPnknkooWwoFucs-9MoJUJxJGdLmjShj6Ylb5kKFmYtMawqHwsWhDsNV-TFJQKFVp5kyqQ_GQmhli70v3D8_YebPYxZl5Q/BZ-uAeJRwvxbds_DnL7ivAz2JUjDj-j5R_deV8fPCmc', 'width': 768, 'height': 512}, 'full': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/y-m8ZOcj-oY5o0qt-TAw6A/EVygtCnrkunUhaKZUgHaP7DbGPcYI_tbc35oMOxpe5bK6pYAQKMPJ1d5cxH5CYD4oo59HMT0BF0rSpXIMhtJF0GMoIYdBP3dWynZyGshqapnnvDiZyUqs5MR0sV4l0dlLeZJ2w68bzhHLslESiRz1A/kqleUjIIQ1J3c-49HesSgR8EfmIc5Lg2hghTGZduF0E', 'width': 3000, 'height': 3000}}}]","If you are a charity leader and feel that professional business consultancy and mentoring can bring your charity to the next level, do not miss this post!",['Gemma Turon Rodrigo'],Ersilia,Q3,cranfield-support,Pro-bono support from the Cranfield Trust,https://medium.com/ersiliaio/how-the-cranfield-trust-pro-bono-business-and-management-support-has-strengthened-eosis-e9c2b438580a,2021
rec3j4bZkWireN2Rs,2021-08-30T16:28:32.000Z,['recLZbmJVAqs3sfvw'],2021-05-04,"[{'id': 'attcHCXMG79HbsW63', 'width': 818, 'height': 460, 'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/H2gid8zgdFIWuaSu8AZVRA/LHqIVoaXrPS5rCATzlJ8Szb6AHfqwuRWGwz-dU9NDlT66W3pTyS94564MeNq2ZUqHa-HtIlN27YErkf1AKPl_E7lvPLkT_qzHElXdDq_cgBgu_7Yd5ENZCdxI7ikDTteG6N7hYqMFpNJ4vIO9hTaspCCZAb-v30Rz9Cd3h0zp1L0RBpGoSGc-GqQaOWS072v/2JoYvUn-uqgCsybQARCvmOUGgaGwlsA_bg0fUzw5Ty0', 'filename': 'This-Just-In-Digital-Development-818x460.jpeg', 'size': 46012, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/Ep2A0eS9HIoTh38Ykrp4hg/wfsI9uzJPidHhKTJsecDb5oL2DVB45DBEsXLnpJUTuYZowOrLVbA58kZiA2myU1x9HEYDCPKq13nUqWg0Oc21OJ0BA-Gpkitvo9oRINZW--eScLNDqXYRXw8-t_R_0Swj3bX6o6I8pX5brPs0y3TfA/UKMiuNYQURLY5VZDUCnMq8EuwI1HVhBT6bIDVwunNKY', 'width': 64, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/rFrV-NTEaiB-BCLiNmn82Q/ifReurzPOTe3RnY-691U2h2FgMdGpqwKnqIR2W-3FBOEiERZWnl4hwP-j1qpIWPDXcu-1ZPC3pNltNw3nuHNDfX4rqNRnrvpEGoGPDcZHVrvItxOpT5BpL7ZaxybFxQ-aGIQaQCXQxQYatJn-Cggfg/8qSQq0Mg2dTl2Th4-JjzRgZG1Zl-6s8LUkLVWsM183M', 'width': 818, 'height': 460}, 'full': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/o337uzQIDu9umSbLfdEpCw/7jz7pX7Fdg9admQvD7OMR6tQzJZ2Lflx4BFQI-ph35fGirTAwpm3JHRYhBBgsIbjwttLm-mkVJ2s0VBUjfPR33uFm3C1RkCv9zFoaE3BsF7Nhb3I6MQDp7B6i8y04zGQqyoOhc939RX7lVK_Ea60Kw/OozOqZzaGG-1RI8WMech7HSkJSp78YZnC06-pNuUpkA', 'width': 3000, 'height': 3000}}}]",An applied example: Ersilia Open Source Initiative,['Gemma Turon Rodrigo'],Ersilia,Q2,digital-technologies-nonprofits,How to harness the power of digital technologies for non-profits,https://medium.com/ersiliaio/how-to-harness-the-power-of-digital-technologies-for-non-profits-24176b63a4a7,2021
rec5xPey95UNg2PGm,2024-08-19T09:33:59.000Z,,2024-08-19,"[{'id': 'attYtfqRpLk8bCNI1', 'width': 1200, 'height': 630, 'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/FT52rnos4x9mPTnDr2nn9Q/oeLxh2EWlzzC2ZcdLtcxqf6sR2x5LNmSxgBS-Hv7BdcbnetpNhxOPfz-y-VsDY8ixbKfNikHopt1OmUdJmitvtXbgPYm9ngCg_m6s-bu6KmYj-acDpkj-3thW1WM7X_DS8h8Vbdca-kDGakoBtaB0LinJRi_0kA9zWn-fL_fgC7qg9AzM_O6RUKK5uaZ-p_E/7kyAB5HgCp-0Ll0C-mi1qYUljcWdLF2DIj_xovw4XQU', 'filename': 'Collaboration-LightMode-2-1.webp', 'size': 119450, 'type': 'image/webp', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/ZAvtuY7pijbOZ06Evr3JoA/gICVZtHnw23nJmZGhFgJ43z9wu-p84bN7GHyLxoZuzqjMm_Hibn9oYnryi-8AgPAfRGEr4SqbhRGZYxyil2vBkoRrzeuokq7A8fTgQpUJid6qEeHaNhk8y4IuowSk3p8XTvlhyOhs78J7aOc5YO-SQ/R50tk2W1yzzXFAtjm2CRMofzfXnAhDsqRA1fyonpBH8', 'width': 69, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/C98zl8yL1KH5XXqQ7zf5aQ/tOFf_VDejessKHzkZWBbvwKe_IzGrJpG9Xr2U62Ts7JuJMmt7iEmxBcLj4bRxCu3lemaeqHVjQw1aXQ7dXuMEQ2NinbDIYfqStMIGEZkPR8BovAaIRpKwMMe1tp8ZSsO6Wxw1xu2tmCWKWuK7QOr0Q/IgJzoCFy4ZqsrBplCLFDWmjwIauCaXZm8Tqxx6xpbPE', 'width': 975, 'height': 512}, 'full': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/D1zMeAQpliQ-gYrUvHxTew/yqKiw2dVmeQzSKb6TPcoVglj9uYPlfnDFkcAz7sYpP5r50d92xXln5ZrsIpuqS2Lu_C19I0-4ep4iT0QUH4LzjeLcuDTZ6eWEE2OaXcSRgJ8mRa82XMMc-E1hL8DdyG26_wvK9CNqlx_gg9z2FsAeQ/S17GuHMV_cUsF1Xfs1__IYj-vda0qCo61tw7kLbCxcc', 'width': 1200, 'height': 630}}}]",Discover how the Ersilia Open Source Initiative accelerates drug discovery by using GitHub Actions to disseminate AI/ML models.,,Other,Q3,github-self-service,How Ersilia distributes AI models to advance global health equity,https://github.blog/open-source/social-impact/automating-open-source-how-ersilia-distributes-ai-models-to-advance-global-health-equity/,2024
rec6tAV60glVg33Q0,2023-07-28T18:56:30.000Z,['recRbPDMRtxZLdcGj'],2023-07-28,"[{'id': 'attzYNTcR4UtbLKA9', 'width': 768, 'height': 1024, 'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/BfCB1-sJq8XoUE8a5Y1Kcw/LRk-eB6DQAZLTWXzYi_qkLYAw1vatFCZw1KOat4G1s4R6rqmIHGxdMjiSkIyWQHrQtPeHAiyx27va5OeMQxMmWMIcw2066REwA2CsdBWRFEL_wlunJCt7xGW3KFXoIB15kQ2CaqDecv8NFtWJ-_dKDFZ8FPdkkjzD2C0WnbrePM/TAcyPo-em5GU2hU_9CVjkeLxKVm3ZY2Tmr_GdqLbz74', 'filename': 'IMG_20220728_101322-768x1024.jpg', 'size': 172777, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/QSVSmzqCywOQiZX0L0GkCw/7wdHAz5ezzPwVulq_7NRm_lPVN6pD1iFWkPgxbvQ7wsyM5XviVvjoE-hvK9M1r6xloyf5pdlSGqEU-mMcURWg0Rt6I3NOx2Pl_QjiqAMy6MzkB9P6X00GaHevDxuTeRcQXvCFb8t3GzQ1HZ1plCFaw/ZSK44AyhZ6cNFwwadLHLrdtE1DDCxSSJKsOSBHCmls8', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/WyXsMy7TKOwcrJ5RjU5fbw/TRkdhCQAAUWKn2X3DgvyuLNet4Hn2MLm5Ftvargg-OZ5msuP-xcWDnozfDei7MzB6P3duoSnFRwn7eQMyQkijXfKDRlsRlvUUj5T9jj4iHrZ8Qr5dQU0kugG_mFt4mobj9ffqZHOCJ6VOy0lXanB9w/npNJaqOCV6iJ2zKPvbBfQFnfjyumZExlF64jcIMO08E', 'width': 512, 'height': 683}, 'full': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/bl32wpKyJB6yuDLbAgVGxA/KKC9LSbN4YFMHkzwHMD7gfNlVmeJArdoy3DEAfg9qBObcSI3ikrOJ1gvu4A469_hdJBmWQX16hsQ0Jjq_vy4mTwcC0vOri6hxflY5Xl4m5bAmEEGIkO9yr7OC-of0NfbOLBYxpkNOJLPHj1qFOiWIQ/5XH6vahZGOwr5zhK_m36sEdViL-nVLT8-0kaaMq8pjY', 'width': 3000, 'height': 3000}}}]","WCAIR, a leading center for anti-infective drug discovery, offered a one-month introductory course for data scientists and software engineers",['Miquel Duran Frigola'],Ersilia,Q3,wcair-drug-discovery,WCAIR’s drug discovery beginner’s guide for the Ersilia community,https://medium.com/ersiliaio/wcairs-drug-discovery-beginner-s-guide-for-the-ersilia-community-3523b2487bdd,2023
rec8X0PLwS7AZvvh6,2023-06-07T12:20:09.000Z,['recm2QzzCp8DSYF54'],2023-06-06,"[{'id': 'att2kHYb50i85gwSy', 'width': 1200, 'height': 800, 'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/ypMLRE7Yrcx9usGOC7GIPQ/fvznfzaTsokphTFb5yQQk_AInD5iVmERJBNRHHkU_gFzoUz8XYNoXQErTIGd4Vs0Hvioj_DDNLkZTBQ5ShextJ0doSCBYops4sF8XTO69mI9whfAwei-fdkycM21IW6nEcc4R1BO9fYs8jGQ047Qg2ZUZ8Ltycatws6rNsyM9aM/IPASq0to_YBvfKLoYkKLxzrFfqhzciEHxvbBzlpHAUI', 'filename': 'take-github-repositories-ios.jpeg', 'size': 560610, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/SZxWLgWiXzvdYaQbTNuJHw/FoWvu1pzNk0vnAFWhi4U9FP7xaZNIfTKLC_UVtW24C9DyWm0Wonaf29nfUUGOYYzxw9D0yfLbiY84F-UPbusrq31FboM9JPBpudso87_oBM6dvkYZFs7alFXJ4irHhSCAvSOSUC5yjz5Uh5tMXN_SQ/k7Lna8sUuTUz6u-8D1j_1QFRcUCDKqms7QusqM0vjts', 'width': 54, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/iKb6UY2-4hOl-EjRANdizg/fjFR7VFK8aD3sV6Jwa9YqZbDschao48_EHi5D7mk3DDTAWPOLmZb5PrII-wYh2_DDK5JGEoH1W3ZuQfxKxp1K6q81QMd8BX41_Zymu6AzjmBMyG_lolJ_aDiHcYpT_BRw27I2t9XlXW2G0sCBZpQ2A/uA9hD2WKF8pkJNtkVpXiUsBUmfOhMtI5M7L9mqgiGdY', 'width': 768, 'height': 512}, 'full': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/wqKHD2t37QLAASOAaS5qLA/4t8jTbBTUcuucUHeDpyatrj9LrPfxq8vIr-5vb8pMvdBE96Ueq8Cv7ygLbvbqUEKLz7r2yhI4ySyhVo_0fR71X_MQWCPskOroNej_k_4Btwbz4GYQGVCamXRaEXqHbxP49zd9vN07Jc3mm3nBCdS7Q/0X59ljeFKF3wplvwI5wWfr7KYrRHO-kSS7sjXMXEX_Q', 'width': 3000, 'height': 3000}}}]",Cynthia Lo (GitHub) reports how a team of GitHub volunteers has supported Ersilia to scale-up model incorporation workflows,['Cynthia Lo'],Other,Q2,github-social-impact,Skills-Based Volunteering case study - How GitHub Actions help Ersilia,https://socialimpact.github.com/insights/Skills-Based-Volunteering-case-study-with-Ersilia/,2023
rec9tWfNa0ANhaIxu,2021-08-29T20:32:49.000Z,['recLZbmJVAqs3sfvw'],2021-08-05,"[{'id': 'attDSiACoGNLoaOGv', 'width': 4288, 'height': 2848, 'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/PINtzpzsST_y9uRMMpVu1A/NuPitIYc6Ng09Yybl0FvykEjoUM0Jkasx94TD_K1ZPjKBe3jgK07hkeVVckQCOtLxbH84yGX15GXfzq3QkF8szfoBZWKkR-V_ei2ODDqBYrEQdRHpapDh54PKwXktCJ5oP8pI6sRqBw0VLTk61s4Gwx7q3y9IAm46JZfch01KmCbwIQM2bnASI5-RXfT0pFo/WrSErDsCcfS6Fhqa_yGJDXeG0iy1mSJUP3byI6WcV2I', 'filename': 'priscilla-du-preez-FOsina4f7qM-unsplash.jpg', 'size': 1153884, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/-HspuEJpGwPzF0d1o3OaAg/aEh6ekdmBOGtErHrL_vvpBOwSne262mBguH0V3EROZ3axSj-OFkpHFJcw8l1DBBnTM8kVMV3xXBYSkd-EMYdCXTaWR4CDP_YPJB_gJRrLz43VjNK9aFjqD2m6pIcgVZ8GfPnsbyD7jPxV9q7n4-4hw/2z3UBRJceVmUDvDo0WeFXEy6M-Jk3nsdmWVmBofHlmw', 'width': 54, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/C5zFMzpfa0JJ1fQ_MGs6QQ/-OOsJ3zpeR_0L-mUCL9_KkKRdQs4q4KWzw4CkXLa47Tu66vG0R7RSvhbfviL0jMPJTDOQ7-HFMseAO1sIJ3rZM-W2M12F8S-YFEkasSQGKb8a_N7LLnXmxPrZ7CLm-CY8uUuPT8JC2KtxV0T4eXvtw/OdGNN8offF6PvrjaDXOxeGsHed9lQuPqhGxVA6q6hJw', 'width': 771, 'height': 512}, 'full': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/lbx_mnPIbrrJdFO6wkZmzQ/PvaIN10Okd8lvb7a2vLMvHAVtoAlhAw1ZOX3TR-5rKpoYvLWNSJjG3cw_YpiUuPJRkw_aYZXXG0rX9C1XDNC02uZZ7HKHRqDpgt6zg-Lp-Zg-m4MDOVlgfprCs-J3kZ_KA0UE4hEEsLgFGsS2j5usg/JY4d6tIWSjh9HlxVUmHNWeasfmMKbXttmpxBa5d_5ks', 'width': 3000, 'height': 3000}}}]",What are the real capabilities of AI/ML and what is needed to efficiently incorporate it into day-to-day scientific research?,['Gemma Turon Rodrigo'],Ersilia,Q3,beyond-hype,Beyond the hype of AI/ML in biomedicine,https://medium.com/ersiliaio/beyond-the-hype-of-ai-ml-in-biomedicine-76c198c07467,2021
recC1t4KZduH9FuXL,2023-06-14T11:54:59.000Z,['recRbPDMRtxZLdcGj'],2023-06-14,"[{'id': 'att3W6Y5Ed91jHWtL', 'width': 980, 'height': 653, 'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/bM1rMPl92eBpDBm4zB-slw/RPEyqwZoPnvB3xxmwAI3IS0VfJ4Yf3Py-XsMgAuIRJHnY46E3QaCYsN7uner55QanWUxE5QUpw8Z9NYjq2Tjt5uPRgFWTp775jLZsomwckc6YZ-bq7Edm3bpaFEE8cQuEZ9NjvkBPnlRNpUDGu618g/JsJaZ99Rj9Wd2TysHagIggQTTuXRXNdd97RH5ovFfhA', 'filename': 'cism.webp', 'size': 76956, 'type': 'image/webp', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/J6WAC10_vHKs23swwNaGEQ/C2GAKXChQFdGBlfdPIH1w5O6Q5ky5cxMv0FoUcL5OOI7n-BQ03syAB7H7D_8MmXOG5h_7Kwnb9c31P0vOh1He-8H3pmSKgCSOc7gKbqFB3EBbvAsSUzqoZ5cLJIEyMsjkFmMSmVTXz1o_9vICBAD0w/Tvki-HWNMYuJoBDsejJjORt9_D1BpSkMBENQ8yEndQ4', 'width': 54, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/_ytk15Hk1AO8Zt9OqhCKRg/kyq9bDpdABCoQ6v8o-BhFPeUPdCEeUcQwWG2V5xe7V4qf-1VTsVATO1LV2d6vHILNUuQqx2SKzp7J2CCvxECjPCe7AkauDd_IvhiFQhpyMzsZVTYI8DJbiB-IudRu1LBUyoB8mmuKzZvpfvQ_5B4ug/4qfkR-BPZpdmdk_8Kg92a9ZN21XF1j7Qoma4W75PLYs', 'width': 768, 'height': 512}, 'full': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/-dCkcViYE8ElYMAF5PwVQQ/ROAWlxBnyUCZXMbEyQxD1BvhGg41BMGGHHoGko2UFJMYjEq--xpIdUBmxS60eNEWjhc2fJgPvxMW6aO4Ipv8rhmz1DVTkDFkZ8PXn73pZ_q5vVpLRcYQ2IX2FhAjqtBwb5uFYWVfqeVweR64WDxSuA/nAmZRLh0JObfqJdeiByN42RhhsO_jAMKNl1b7vMXQNA', 'width': 3000, 'height': 3000}}}]","In a series of articles, Rosauro Varo Cobos offers his perspective on racism, colonialism and global health",['Miquel Duran Frigola'],Ersilia,Q2,rosauro-varo-cobos,Colonial medicine and global health,https://medium.com/ersiliaio/colonial-medicine-and-global-health-711d90a1c7f8,2023
recDYY2hrXwPBJFn4,2021-08-30T16:24:07.000Z,['recRbPDMRtxZLdcGj'],2021-06-15,"[{'id': 'attvYX55cZilR5IxE', 'width': 1400, 'height': 1052, 'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/gX1BDGIo5cJrK3MrOtzrBw/RLmE7mE-HknfKrUbTHzXmtz7quWAqATSmczsgLm0Nb-2ZCuPDFM2D0lQDG-jUVBXK6yPsVuB4BzkgdX5sRssjG4dtkOCRpiy6Yj5Lr7wJnmaVxGaQpurh3OjxHtVPd2Zc2qxlKCqGVY-1BjSrNsD4A/mOgKt_1pITIDdN8LcvOxkOTkSpVOkmbWrRVZb2Ylxfk', 'filename': 'cc-ordered.png', 'size': 1873075, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/0YbX0OeDHamUioIE1j5LLw/KFcxHrtSgEPAyL2JiGx_ihh3gtOQwnLzAUDZL81cKl_AKawoKIxhtOTDldqZg2V9b0aw_HDrplAnpBwaB1kq4HiPJHHcKUOhmW8FLgtmKB2FM7Ost3qhChAEkiGIScaEgo3Erl7v-nWb_U9cdpuwEw/j6btyCgRZbHko3t_CWZBe81hqcOuFPRE-HfjjTtPJ0E', 'width': 48, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/IwgFI7kbgIKF4vadlADSOQ/RIAg1CPisi5am-pvnXqNIA3KWdLsuLiqhsfi4ffN0UsmF2Oulq9G0Q4TDEUSYydN4R-Q7rD9pH1OJ7L80-Um5CgkvyHVxQudvOxT80s_JMcTr2ca9vEBtDhUncnoLtl5S9l2q4WqG6p6cIU82RNhNg/UY9lLe10tm4pdAkYnxRiNDABxhxm6rbM1J7NM_CKqjg', 'width': 681, 'height': 512}, 'full': {'url': 'https://v5.airtableusercontent.com/v3/u/42/42/1751284800000/upfWM_Iedh5OL1JMwOmIwg/xFimT6lW3jmiGj884aGDLS_u1uxXihl7-hI3yibfILY28QoAttaa1nd6AsLZ02Yu6eOi8zQC8zQ1iANqDiK1IIScYuTcXyy-smZPAOlO3fldoJaY7nYVNbEmjhHRKL0qV1s2h7V-Dc_0JN6tXJfPoA/z-83LenB2YM6ainzOMfIZEw3CJMjQq3_UInRIH11ePk', 'width': 3000, 'height': 3000}}}]",Chemical Checker results in a DREAM Challenge,['Miquel Duran Frigola'],Ersilia,Q2,dream-challenge,Outstanding performance in a community challenge,https://medium.com/ersiliaio/outstanding-performance-in-a-community-challenge-for-pan-cancer-drug-discovery-4094d18e27fb,2021
