id,createdTime,Collaborators,Community,Conferences,Country,Donations,Events,Imported table,Income Group,Population,Region,Subregion
rec02yam7Zsm0u0W8,2023-12-08T07:52:03.000Z,,,,Maldives,,,,UMIC,600000,Asia,Southern Asia
rec04FOULJyRzLm4J,2023-12-08T07:52:03.000Z,Kenya Medical Research Institute,['recUDby0yXMNa07pQ'],['rechLsReFrOVFS2vd'],Kenya,,['rec0NasFjCICQWOvv'],"['recdtZXPofDhKR05d', 'rectRemc3bU46MGtX']",LMIC,54000000,Africa,Sub-Saharan Africa
rec09pnHpHhsbuFmH,2023-12-08T07:52:03.000Z,,,,Germany,,,"['rec10JsGFMceYNviC', 'recANJMRBGQfTiorU', 'recCsn3ga7AWQPMOe', 'recuqWzQCddQpf64b', 'recMu7fKfheIvmX7m']",HIC,84000000,Europe,Western Europe
rec0jtFAAV5rQT6iT,2023-12-08T07:52:03.000Z,,,,South Sudan,,,,LIC,13000000,,
rec1GV3aU7GEXsh47,2023-12-08T07:52:03.000Z,,,,Burkina,,,,LIC,22000000,,
rec1gITT1jPGWmAC8,2023-12-08T07:52:03.000Z,,,,Argentina,,,,UMIC,46000000,Americas,Latin America and the Caribbean
rec1iTCb5BjoEq6BQ,2023-12-08T07:52:03.000Z,,,,Ecuador,,,,UMIC,19000000,Americas,Latin America and the Caribbean
rec2YkwgOoOPmDaGl,2023-12-08T07:52:03.000Z,,"['recpABLOJt08ENWHy', 'recGRxXwYvzyCc5jD']",,Colombia,,['reccWXVXByj6tVrYW'],,UMIC,52000000,Americas,Latin America and the Caribbean
rec2f2efSNdWzXfLG,2023-12-08T07:52:03.000Z,,,,Ireland [Republic],,,,HIC,5200000,Europe,Northern Europe
rec2zDKGckhbeCGqE,2023-12-08T07:52:03.000Z,"Centre for Infectious Disease Research Zambia, Apex University",,['recFD0bpcm4ciMKQ4'],Zambia,,['recIcxUiLwWig49SP'],"['recufKZgZ42sJtlDV', 'recoWiGipkDQpj945']",LMIC,19000000,Africa,Sub-Saharan Africa
rec3aZ7PsSnZj3e2t,2023-12-08T07:51:46.000Z,,,,Afghanistan,,,,LIC,42000000,Asia,Southern Asia
rec3nC9a0W1vKoVBH,2023-12-08T07:52:03.000Z,,,,Botswana,,,,UMIC,2400000,Africa,Sub-Saharan Africa
rec43RfSGh2tdFgJ6,2023-12-08T07:52:03.000Z,,"['recDo5NgERhiWh1S0', 'reciPwfy7xwlO9R3s', 'recRmGpPHzRmIqA2w', 'recps83oukNvzGPUX', 'rec71h3GgcryADI5Z', 'recSs3iq071lgtyE9', 'rechvB8Ycxeq0lH3M', 'recfltXjBND2BXqUE', 'recTfDQgeS0EN05PA', 'recZJJdfbwbgdfLlq']",,Nigeria,,,,LMIC,218000000,Africa,Sub-Saharan Africa
