label,value
0,0
0.6,0
1.1,0
1.7,0
2.2,0
2.8,0
3.4,0
3.9,0
4.5,0.1
5.0,0.1
5.6,0.1
6.1,0.1
6.7,0.1
7.3,0.1
7.8,0.1
8.4,0.2
8.9,0.2
9.5,0.2
10.1,0.2
10.6,0.2
11.2,0.2
11.7,0.3
12.3,0.3
12.8,0.3
13.4,0.3
14.0,0.4
14.5,0.4
15.1,0.4
15.6,0.4
16.2,0.5
16.8,0.5
17.3,0.5
17.9,0.5
18.4,0.6
19.0,0.6
19.6,0.6
20.1,0.6
20.7,0.7
21.2,0.7
21.8,0.7
22.3,0.8
22.9,0.8
23.5,0.8
24.0,0.9
24.6,0.9
25.1,0.9
25.7,1
26.3,1
26.8,1
27.4,1.1
27.9,1.1
28.5,1.2
29.1,1.2
29.6,1.2
30.2,1.3
30.7,1.3
31.3,1.4
31.8,1.4
32.4,1.5
33.0,1.5
33.5,1.5
34.1,1.6
34.6,1.6
35.2,1.7
35.8,1.7
36.3,1.8
36.9,1.8
37.4,1.9
38.0,2
38.5,2
39.1,2.1
39.7,2.1
40.2,2.2
40.8,2.3
41.3,2.3
41.9,2.4
42.5,2.5
43.0,2.5
43.6,2.6
44.1,2.7
44.7,2.7
45.3,2.8
45.8,2.9
46.4,2.9
46.9,3
47.5,3.1
48.0,3.2
48.6,3.2
49.2,3.3
49.7,3.4
50.3,3.5
50.8,3.6
51.4,3.7
52.0,3.8
52.5,3.8
53.1,3.9
53.6,4
54.2,4.1
54.7,4.2
55.3,4.3
55.9,4.4
56.4,4.5
57.0,4.6
57.5,4.7
58.1,4.9
58.7,5
59.2,5.1
59.8,5.2
60.3,5.3
60.9,5.4
61.5,5.6
62.0,5.7
62.6,5.8
63.1,6
63.7,6.1
64.2,6.2
64.8,6.4
65.4,6.5
65.9,6.7
66.5,6.8
67.0,7
67.6,7.1
68.2,7.3
68.7,7.5
69.3,7.6
69.8,7.8
70.4,8
70.9,8.2
71.5,8.4
72.1,8.7
72.6,8.9
73.2,9.1
73.7,9.3
74.3,9.6
74.9,9.8
75.4,10.1
76.0,10.4
76.5,10.7
77.1,11
77.7,11.3
78.2,11.6
78.8,11.9
79.3,12.2
79.9,12.6
80.4,12.9
81.0,13.3
81.6,13.6
82.1,14
82.7,14.4
83.2,14.7
83.8,15.1
84.4,15.5
84.9,15.9
85.5,16.4
86.0,16.9
86.6,17.4
87.2,18
87.7,18.6
88.3,19.2
88.8,19.9
89.4,20.6
89.9,21.5
90.5,22.3
91.1,23.2
91.6,24.2
92.2,25.2
92.7,26.2
93.3,27.3
93.9,28.4
94.4,29.6
95.0,30.8
95.5,32.2
96.1,33.6
96.6,35
97.2,36.4
97.8,37.9
98.3,39.7
98.9,43.3
99.4,56.4
100.0,100
